# cycles  fidelity      MSE           ||MSE gradient||    
152       0.70463836    0.07535265    0.03784832          
153       0.70683107    0.07387550    0.03967367          
154       0.70806585    0.07298082    0.03699966          
155       0.70823128    0.07252420    0.03704587          
156       0.70810711    0.07231615    0.03708846          
157       0.70981627    0.07138037    0.03667748          
158       0.71256889    0.06987412    0.03625148          
159       0.71424209    0.06932270    0.03650660          
160       0.71570759    0.06871759    0.03861078          
161       0.71660228    0.06802011    0.03546180          
162       0.71825618    0.06709869    0.03560452          
163       0.71809756    0.06670425    0.03459535          
164       0.71998466    0.06590240    0.03346727          
165       0.72064962    0.06548272    0.03448305          
166       0.72129307    0.06470917    0.03574745          
167       0.72255264    0.06402199    0.03404378          
168       0.72439589    0.06311862    0.03141188          
169       0.72646792    0.06255884    0.03195992          
170       0.72791737    0.06153807    0.03174062          
171       0.72867579    0.06092912    0.03022960          
172       0.72626354    0.06098159    0.03009900          
173       0.72820600    0.06044545    0.03160309          
174       0.73159394    0.05926313    0.02950304          
175       0.73061549    0.05916213    0.02690470          
176       0.73184917    0.05867785    0.02603390          
177       0.73272755    0.05833924    0.02663575          
178       0.73290834    0.05766735    0.02470052          
179       0.73333649    0.05752451    0.02393554          
180       0.73380774    0.05717395    0.02515855          
181       0.73689448    0.05643550    0.02496010          
182       0.73687092    0.05598449    0.02218148          
183       0.73904159    0.05536895    0.02146956          
184       0.73930480    0.05528399    0.02048248          
185       0.73778959    0.05518291    0.02111844          
186       0.73930190    0.05470836    0.01980812          
187       0.73918984    0.05492591    0.02047697          
188       0.73930581    0.05428530    0.02018081          
189       0.74011348    0.05426792    0.01927106          
190       0.74076138    0.05349775    0.01841344          
191       0.73977487    0.05343281    0.01935550          
192       0.74123284    0.05314035    0.01745013          
193       0.74206657    0.05294365    0.01788043          
194       0.74247490    0.05282826    0.01655061          
195       0.74024658    0.05293144    0.01783864          
196       0.74234467    0.05261872    0.02135431          
197       0.74304041    0.05240966    0.01637447          
198       0.74229850    0.05207065    0.01780924          
199       0.74268875    0.05226175    0.01893660          
200       0.74520846    0.05133598    0.01544643          
201       0.74548120    0.05118116    0.01707428          
202       0.74467970    0.05095689    0.01593942          
203       0.74307753    0.05120579    0.01716333          
204       0.74457931    0.05034866    0.01667914          
205       0.74538171    0.05042818    0.01702340          
206       0.74564726    0.04992565    0.01684720          
207       0.74768874    0.04964275    0.01758315          
208       0.74716220    0.04978710    0.01678273          
209       0.74629754    0.05002661    0.01841413          
210       0.74828248    0.04888378    0.01684044          
211       0.74897617    0.04879639    0.01857510          
212       0.74849625    0.04894005    0.01762867          
213       0.74761662    0.04873238    0.02014400          
214       0.74738232    0.04881350    0.01862297          
215       0.74982138    0.04769350    0.02046662          
216       0.75105818    0.04746930    0.02303910          
217       0.75237490    0.04726762    0.01905409          
218       0.75105349    0.04723680    0.02139028          
219       0.75236788    0.04639419    0.02129689          
220       0.75194033    0.04658549    0.02090628          
221       0.75291943    0.04597036    0.02145657          
222       0.75366394    0.04530616    0.02571157          
223       0.75415306    0.04466770    0.02404082          
224       0.75588578    0.04400479    0.02330025          
225       0.75471668    0.04425317    0.02605788          
226       0.75626511    0.04360192    0.02746494          
227       0.75656950    0.04331923    0.02558461          
228       0.75852191    0.04284128    0.02877811          
229       0.75803366    0.04224208    0.03107008          
230       0.75976415    0.04140546    0.02733076          
231       0.76087025    0.04025500    0.02835720          
232       0.76166167    0.04002600    0.03271926          
233       0.76327834    0.03900440    0.02918913          
234       0.76483643    0.03819039    0.03037020          
235       0.76395993    0.03784893    0.03200445          
236       0.76508854    0.03713232    0.03272665          
237       0.76750326    0.03613444    0.03202079          
238       0.76901001    0.03549537    0.03369660          
239       0.77020108    0.03456620    0.03363021          
240       0.77209429    0.03335677    0.03371372          
241       0.77482867    0.03215010    0.03383257          
242       0.77532280    0.03156479    0.03486097          
243       0.77738341    0.03037790    0.03470042          
244       0.77983865    0.02938662    0.03444143          
245       0.78277381    0.02835645    0.03518718          
246       0.78393318    0.02741396    0.03463119          
247       0.78632357    0.02639343    0.03433392          
248       0.78670356    0.02560379    0.03479184          
249       0.78901257    0.02444822    0.03548206          
250       0.78979616    0.02358590    0.03376008          
251       0.79295022    0.02269462    0.03374012          
252       0.79598426    0.02157600    0.03277985          
253       0.79594890    0.02092570    0.03246530          
254       0.79971924    0.01987791    0.03168838          
255       0.80347565    0.01883156    0.03073849          
256       0.80301418    0.01846638    0.03106792          
257       0.80380078    0.01769068    0.02995736          
258       0.80598548    0.01693862    0.02922634          
259       0.80770797    0.01623196    0.02813729          
260       0.80940728    0.01562502    0.02709067          
261       0.81062299    0.01497689    0.02614775          
262       0.81359454    0.01430475    0.02517590          
263       0.81466413    0.01391263    0.02471069          
264       0.81580624    0.01329722    0.02416479          
265       0.81607598    0.01300536    0.02331997          
266       0.81860441    0.01243235    0.02188668          
267       0.81832748    0.01206094    0.02100475          
268       0.82019327    0.01168578    0.02025865          
269       0.82156861    0.01135078    0.01958847          
270       0.82295641    0.01092473    0.01905875          
271       0.82257182    0.01076272    0.01905077          
272       0.82399595    0.01040306    0.01779897          
273       0.82381495    0.01015749    0.01660711          
274       0.82537195    0.00989395    0.01613738          
275       0.82549269    0.00972735    0.01571397          
276       0.82696038    0.00941233    0.01484184          
277       0.82717240    0.00920811    0.01478973          
278       0.82796396    0.00903378    0.01424441          
279       0.82790798    0.00888404    0.01384752          
280       0.82948477    0.00870444    0.01352872          
281       0.82941536    0.00856464    0.01320982          
282       0.82982751    0.00839265    0.01273543          
283       0.83047158    0.00824434    0.01236230          
284       0.83018304    0.00814842    0.01237126          
285       0.83088757    0.00804342    0.01195841          
286       0.83147416    0.00783285    0.01149871          
287       0.83187750    0.00771774    0.01122265          
288       0.83186542    0.00767349    0.01147674          
289       0.83252906    0.00750941    0.01096920          
290       0.83278560    0.00746772    0.01087150          
291       0.83289864    0.00731700    0.01088212          
292       0.83321558    0.00717120    0.01035431          
