# cycles  fidelity      MSE           ||MSE gradient||    
1         0.79509568    0.23145593    0.39665463          
2         0.79733395    0.24065405    0.41764393          
3         0.79786869    0.23106519    0.37666681          
4         0.79532950    0.22135219    0.33272029          
5         0.79792100    0.20916637    0.30033909          
6         0.79562944    0.20338081    0.28224164          
7         0.79702398    0.19528086    0.26779403          
8         0.79835960    0.18713816    0.25354698          
9         0.79439810    0.18537203    0.25270186          
10        0.79620619    0.17753215    0.24176315          
11        0.79462771    0.17402452    0.24310835          
12        0.79610535    0.16712234    0.23627888          
13        0.79433378    0.16244937    0.22948122          
14        0.79646349    0.15478573    0.21565932          
15        0.80214739    0.14511034    0.20115979          
16        0.79776530    0.14277296    0.19384502          
17        0.79710037    0.13835905    0.18369884          
18        0.79789268    0.13363629    0.17951100          
19        0.79509092    0.13093915    0.17092440          
20        0.79877935    0.12429694    0.15153003          
21        0.79710907    0.12126109    0.13186991          
22        0.79898235    0.11715311    0.11641167          
23        0.79438826    0.11617224    0.10147083          
24        0.79707842    0.11248009    0.07835259          
25        0.79525328    0.11144631    0.06577477          
26        0.79427683    0.11085595    0.04696997          
27        0.79643712    0.10850881    0.04150405          
28        0.79923015    0.10692247    0.04042626          
29        0.79628816    0.10857638    0.04705273          
30        0.79632692    0.10848446    0.04218889          
31        0.79715542    0.10812582    0.03251439          
32        0.79422706    0.10947034    0.03854237          
33        0.79654390    0.10942223    0.05251631          
34        0.79576597    0.10957752    0.05750412          
35        0.79594754    0.10992258    0.06600274          
36        0.79895441    0.10995018    0.06963633          
37        0.79645544    0.10999165    0.06552631          
38        0.79660154    0.11058542    0.06711163          
39        0.79820642    0.10983879    0.06720761          
40        0.79583821    0.10989931    0.06287087          
41        0.79611721    0.10917974    0.06006297          
42        0.79773001    0.10947978    0.06358766          
43        0.79453853    0.10949571    0.05230779          
44        0.79610769    0.10906574    0.05089118          
45        0.79682926    0.10895793    0.04503880          
46        0.79639039    0.10851978    0.04121027          
47        0.79748546    0.10786320    0.03362532          
48        0.79629413    0.10721389    0.02611090          
49        0.79705023    0.10757303    0.02957418          
50        0.79752952    0.10696896    0.03337203          
51        0.79547358    0.10737647    0.02134019          
52        0.79476896    0.10751841    0.01344642          
53        0.79845286    0.10599393    0.01112071          
54        0.79612226    0.10693316    0.01707945          
55        0.79791870    0.10685989    0.01256251          
56        0.79644456    0.10728034    0.01627911          
57        0.79639709    0.10716195    0.02048649          
58        0.79667162    0.10697279    0.02380569          
59        0.79427123    0.10749243    0.03713337          
60        0.79573641    0.10708323    0.02535488          
61        0.79637281    0.10779324    0.02132458          
62        0.79531767    0.10741399    0.02575752          
63        0.79752022    0.10637397    0.03143781          
64        0.79653506    0.10684752    0.02455567          
65        0.79658726    0.10714182    0.02157465          
66        0.79753285    0.10636635    0.02223674          
67        0.79683298    0.10616436    0.02031947          
68        0.79734850    0.10616105    0.01845261          
69        0.79539339    0.10682649    0.02201179          
70        0.79552713    0.10673709    0.02242669          
71        0.79668209    0.10641484    0.01737094          
72        0.79526809    0.10638853    0.02732205          
73        0.79717242    0.10605931    0.01542425          
74        0.79724631    0.10579721    0.01995810          
75        0.79739484    0.10548325    0.01798368          
76        0.79740990    0.10548429    0.02370712          
77        0.79584751    0.10544879    0.01850811          
78        0.79580250    0.10573170    0.02419843          
79        0.79509051    0.10538743    0.02121992          
80        0.79733200    0.10492280    0.02185299          
81        0.79687327    0.10479948    0.02817488          
82        0.79924251    0.10388452    0.02439297          
83        0.79705168    0.10391636    0.02632445          
84        0.80152313    0.10238435    0.02738462          
85        0.79794730    0.10355589    0.02589953          
86        0.79865476    0.10309555    0.02656567          
87        0.80043779    0.10204984    0.02798317          
88        0.80146519    0.10112439    0.03479636          
89        0.79895898    0.10197287    0.03773873          
90        0.79826965    0.10184993    0.03301617          
91        0.80048998    0.10046240    0.03274118          
92        0.79920049    0.10113585    0.03501046          
93        0.80069506    0.10009667    0.03424559          
94        0.80029847    0.09966570    0.04053565          
95        0.79961488    0.09944325    0.04311377          
96        0.79952207    0.09861757    0.03984054          
97        0.79830731    0.09861568    0.04237941          
98        0.80127410    0.09724641    0.04540073          
99        0.80251902    0.09602248    0.05824766          
100       0.80382784    0.09485621    0.04440319          
101       0.80179322    0.09528909    0.04880787          
102       0.80098899    0.09432786    0.04877903          
103       0.80636590    0.09184051    0.05002869          
104       0.80688951    0.09093412    0.05144284          
