# cycles  fidelity      MSE           ||MSE gradient||    
152       0.95626387    0.00616323    0.01062845          
153       0.95656196    0.00602212    0.01065828          
154       0.95596988    0.00594422    0.01038637          
155       0.95746862    0.00572969    0.00985868          
156       0.95646206    0.00563175    0.00929303          
157       0.95789368    0.00543704    0.00910807          
158       0.95854227    0.00526699    0.00954417          
159       0.95694729    0.00528769    0.00970434          
160       0.95855891    0.00508152    0.00874923          
161       0.95862852    0.00496351    0.00821310          
162       0.95923233    0.00484847    0.00800993          
163       0.95846309    0.00482650    0.00814128          
164       0.96093150    0.00454691    0.00809117          
165       0.96049549    0.00457449    0.00831278          
166       0.96012241    0.00452169    0.00780053          
167       0.96041275    0.00441683    0.00888981          
168       0.96050534    0.00438698    0.00831038          
169       0.96083449    0.00430067    0.00820707          
170       0.96058231    0.00426425    0.00801160          
171       0.96085286    0.00418284    0.00793148          
172       0.96094546    0.00412082    0.00782114          
173       0.96197991    0.00401138    0.00791280          
174       0.96211903    0.00396725    0.00786514          
175       0.96228583    0.00393033    0.00818748          
176       0.96198521    0.00390791    0.00814685          
177       0.96258238    0.00381023    0.00805390          
178       0.96183921    0.00380508    0.00793657          
179       0.96401115    0.00361863    0.00680275          
180       0.96349109    0.00359947    0.00669965          
181       0.96488149    0.00344381    0.00651251          
182       0.96491771    0.00342347    0.00676553          
183       0.96495835    0.00339254    0.00666549          
184       0.96376238    0.00343618    0.00623278          
185       0.96410343    0.00339003    0.00666116          
186       0.96423124    0.00334542    0.00646472          
187       0.96520926    0.00324477    0.00637544          
188       0.96530743    0.00318950    0.00566014          
189       0.96446922    0.00317078    0.00561888          
190       0.96658257    0.00304049    0.00579272          
191       0.96428469    0.00315558    0.00778281          
192       0.96618594    0.00301413    0.00568914          
193       0.96628705    0.00297349    0.00525267          
194       0.96696553    0.00292402    0.00575864          
195       0.96746014    0.00288765    0.00658647          
196       0.96642855    0.00287800    0.00638327          
197       0.96717797    0.00281003    0.00537595          
198       0.96624801    0.00280653    0.00528109          
199       0.96682894    0.00276748    0.00623222          
200       0.96531507    0.00281240    0.00636722          
201       0.96791811    0.00265303    0.00562700          
202       0.96764392    0.00262370    0.00546380          
203       0.96807578    0.00258315    0.00610829          
204       0.96849943    0.00253768    0.00504503          
205       0.96770053    0.00253611    0.00503931          
206       0.96799721    0.00249615    0.00468675          
207       0.96892161    0.00245227    0.00493531          
208       0.96851166    0.00244371    0.00572503          
209       0.96960795    0.00233992    0.00469216          
210       0.96876641    0.00238150    0.00465005          
211       0.96965300    0.00228922    0.00459581          
212       0.96853813    0.00234758    0.00486918          
213       0.96903526    0.00226705    0.00483717          
214       0.96953690    0.00224327    0.00481622          
215       0.97035492    0.00217537    0.00455062          
216       0.97130803    0.00210739    0.00454281          
217       0.97032144    0.00213502    0.00493481          
218       0.97116833    0.00206477    0.00459225          
219       0.97065554    0.00204480    0.00410038          
220       0.96940652    0.00209418    0.00450010          
221       0.97008587    0.00205276    0.00451060          
222       0.97073578    0.00199502    0.00483614          
223       0.97046444    0.00200484    0.00438333          
224       0.97262322    0.00187820    0.00427981          
225       0.97098729    0.00194192    0.00456518          
226       0.97066936    0.00191292    0.00459996          
227       0.97240337    0.00183268    0.00391784          
228       0.97207105    0.00183634    0.00420420          
229       0.97214282    0.00181003    0.00451203          
230       0.97026496    0.00186279    0.00392260          
231       0.97285529    0.00174196    0.00380851          
232       0.97153701    0.00177512    0.00404217          
233       0.97407460    0.00166301    0.00397460          
234       0.97229337    0.00171529    0.00377223          
235       0.97228237    0.00170157    0.00392633          
236       0.97282289    0.00164848    0.00457117          
237       0.97375620    0.00159445    0.00354918          
238       0.97147977    0.00166075    0.00422006          
239       0.97115939    0.00165375    0.00392587          
240       0.97202652    0.00162098    0.00416833          
241       0.97333813    0.00155092    0.00389328          
242       0.97207870    0.00158552    0.00356306          
243       0.97308178    0.00153557    0.00383470          
244       0.97371974    0.00149497    0.00378165          
245       0.97440697    0.00144725    0.00325106          
246       0.97156218    0.00155951    0.00409082          
247       0.97354878    0.00145143    0.00429855          
248       0.97362824    0.00145598    0.00381876          
249       0.97295408    0.00144536    0.00338281          
250       0.97412029    0.00139786    0.00379417          
251       0.97357126    0.00138860    0.00378479          
252       0.97328177    0.00140378    0.00325670          
253       0.97334168    0.00138422    0.00320328          
254       0.97517775    0.00131162    0.00388265          
255       0.97431722    0.00133842    0.00366577          
256       0.97528442    0.00127792    0.00308224          
257       0.97322351    0.00134455    0.00345069          
258       0.97490645    0.00126915    0.00343248          
259       0.97564638    0.00124118    0.00380462          
