# cycles  fidelity            EL avg              EL var              ||MSE gradient||    ratio accepted samples
1         0.84011             1.00845             0.02584             0.15392             0.9999975           
2         0.85537             1.06639             0.13090             0.49362             0.99999             
3         0.85677             1.07124             0.14118             0.56102             0.9999925           
4         0.84512             1.03425             0.03150             0.28896             0.999995            
5         0.84150             1.04037             0.04239             0.15375             1.0                 
6         0.83121             1.17252             0.61487             2.03954             0.9999975           
7         0.85752             1.06593             0.06024             0.36702             0.9999925           
8         0.84544             1.09289             0.13020             0.34003             0.9999925           
9         0.83397             1.08425             0.08352             0.28997             0.99998             
10        0.84838             1.14813             0.28657             0.52589             0.99999             
11        0.83762             1.10577             0.02728             0.30587             0.9999975           
12        0.82183             1.21699             0.28863             1.03212             0.999985            
13        0.83552             1.14535             0.05437             0.27243             0.9999925           
14        0.82696             1.21158             0.09113             0.66323             0.999995            
15        0.83590             1.19382             0.04627             0.20462             0.9999925           
16        0.83290             1.24711             0.06026             0.48442             0.9999975           
17        0.83384             1.24170             0.03916             0.34984             0.999995            
18        0.83632             1.27166             0.03825             0.41471             0.999995            
19        0.83229             1.32773             0.06595             0.38486             0.999995            
20        0.82102             1.35398             0.13167             0.50124             0.999995            
21        0.83047             1.40098             0.18471             0.44287             1.0                 
22        0.82836             1.39499             0.07726             0.79451             0.9999925           
23        0.83994             1.42944             0.14820             0.78022             0.999995            
24        0.84167             1.47502             0.10081             0.73272             0.9999975           
25        0.84066             1.48855             0.23680             1.08547             0.9999925           
26        0.83975             1.57439             0.48148             0.98256             0.9999825           
27        0.85362             1.51416             0.22000             1.04484             0.9999875           
28        0.84497             1.63837             0.40559             0.72421             0.99999             
29        0.85554             1.61856             0.33531             1.02033             0.9999875           
30        0.84807             1.62481             0.25563             1.45476             0.999995            
31        0.86581             1.67274             0.32848             1.26202             0.99999             
32        0.86753             1.71141             0.42580             1.05564             0.9999875           
33        0.87616             1.68349             0.42887             1.52478             0.9999975           
34        0.88335             1.67992             0.45628             1.69096             0.9999925           
35        0.68283             6.79303             122.28884           110.81808           1.0                 
36        0.86966             1.81249             0.64362             1.65936             0.99999             
37        0.88203             1.78882             0.59341             2.11698             0.9999925           
38        0.87375             1.98872             0.77632             1.41688             0.999995            
39        0.88679             1.81786             0.72786             2.25460             1.0                 
40        0.88352             1.90399             1.00628             2.25933             0.9999875           
41        0.89342             1.82128             0.90159             2.37093             0.9999925           
42        0.88298             1.91702             0.97858             2.59804             0.9999975           
43        0.88275             1.97919             1.10987             2.27109             0.9999975           
44        0.84103             2.85967             18.13334            20.10070            0.9999875           
45        0.89424             1.91986             1.23106             2.98792             0.9999925           
46        0.90072             1.94134             1.30167             2.84139             0.999985            
47        0.88052             2.10671             1.96909             2.79083             0.9999975           
48        0.88862             2.04741             1.82775             3.43424             0.999995            
49        0.89800             1.99934             1.61523             3.35391             0.999985            
50        0.86262             2.41600             5.39239             6.49067             0.99999             
51        0.90590             1.99212             1.83028             3.15269             0.999995            
52        0.90098             2.09759             2.01953             3.51405             0.9999975           
53        0.91148             1.98143             2.00427             3.40696             1.0                 
54        0.90638             2.09076             2.12522             3.41434             0.9999975           
55        0.90365             2.09649             2.50033             3.52475             1.0                 
56        0.90263             2.22613             2.65077             2.96509             0.9999925           
57        0.91086             2.14491             2.70224             3.97808             0.9999975           
58        0.91828             2.09455             2.84980             3.69527             0.999985            
59        0.92267             2.02871             2.80765             3.76019             0.999985            
60        0.91755             2.19202             3.15309             3.98742             0.9999975           
61        0.92891             2.00068             2.89975             3.84187             0.999995            
62        0.90973             2.30378             3.69687             4.35825             0.999985            
63        0.92845             2.10648             3.48982             4.01064             1.0                 
64        0.92864             2.10803             3.51731             3.91237             0.9999975           
65        0.92317             2.20238             3.94282             3.77308             0.99999             
66        0.92814             2.11497             4.01746             3.94938             0.9999975           
67        0.93165             2.13746             3.91832             3.66453             0.999995            
68        0.93300             2.12071             4.05799             3.65836             0.9999925           
69        0.93963             2.06485             3.92559             3.64971             0.999995            
70        0.92463             2.31278             4.70753             4.48554             0.999995            
71        0.93608             2.11075             4.27869             4.05694             0.999985            
72        0.93680             2.22615             5.12278             4.22131             0.9999875           
73        0.93726             2.18000             5.04673             3.73333             0.999985            
74        0.15947             235.80671           24598.16237         7581.40620          1.0                 
75        0.89195             2.52433             7.23270             3.71216             0.99999             
76        0.93251             2.32258             6.15475             4.52273             0.999995            
77        0.94254             2.10447             5.40690             3.84681             1.0                 
78        0.94208             2.17147             5.97005             4.11017             0.9999875           
79        0.65726             17.80812            689.63887           437.20346           0.9999975           
80        0.93190             2.13419             5.47453             2.92442             0.99999             
81        0.94352             2.13237             6.22644             3.97871             0.999995            
82        0.93333             2.39021             7.59933             4.76541             0.9999975           
83        0.94014             2.23772             7.16203             4.40550             0.9999925           
84        0.93059             2.40701             8.08466             4.95921             0.999995            
85        0.92731             2.53338             9.14326             5.14347             0.99999             
86        0.92677             2.58026             9.87734             5.75099             0.99999             
87        0.93143             2.37712             8.81838             4.43765             0.9999975           
88        0.93343             2.31275             9.05666             4.85327             0.9999925           
89        0.93229             2.29089             8.77038             4.53946             0.9999925           
90        0.91985             2.47664             9.60874             4.54840             0.999995            
91        0.92531             2.30908             8.62985             5.07848             0.999995            
92        0.92728             2.26659             8.94919             3.58385             0.999995            
93        0.93887             2.23802             9.53467             4.60730             0.99999             
94        0.93085             2.54966             11.98789            6.08023             0.999995            
95        0.94163             2.09844             8.86920             3.62024             0.9999925           
96        0.92687             2.31325             10.18421            4.84514             0.999995            
