# cycles  fidelity      MSE           ||MSE gradient||    
152       0.50439734    0.12256610    0.26505914          
153       0.50360002    0.12139310    0.26573858          
154       0.50841008    0.11959190    0.25832471          
155       0.50845683    0.11880555    0.25447485          
156       0.50269242    0.11914528    0.25603280          
157       0.50326781    0.11816321    0.25321736          
158       0.50308673    0.11726864    0.25160079          
159       0.50957955    0.11494400    0.24476261          
160       0.50553470    0.11491177    0.24500540          
161       0.50266578    0.11501523    0.24162611          
162       0.50617711    0.11329821    0.23857614          
163       0.49889380    0.11423637    0.23950304          
164       0.50614626    0.11173330    0.23267173          
165       0.50518388    0.11131663    0.23016882          
166       0.50566376    0.11064806    0.22603505          
167       0.50405819    0.10999102    0.22688659          
168       0.50767340    0.10814477    0.22435955          
169       0.50439827    0.10866829    0.21988221          
170       0.50440199    0.10800989    0.21816110          
171       0.50377394    0.10727169    0.21681952          
172       0.50221109    0.10694991    0.21564092          
173       0.50338874    0.10631899    0.21083153          
174       0.50632380    0.10494977    0.20776463          
175       0.50425506    0.10445289    0.20819489          
176       0.50718988    0.10339384    0.20311719          
177       0.50303426    0.10373648    0.20332938          
178       0.50301952    0.10337806    0.19948911          
179       0.50482696    0.10193381    0.19888499          
180       0.50597756    0.10166792    0.19385523          
181       0.50857331    0.10068126    0.18906046          
182       0.50329356    0.10130077    0.18892082          
183       0.50766909    0.09984319    0.18516987          
184       0.50440453    0.09998951    0.18494773          
185       0.50308612    0.09954012    0.18445909          
186       0.50491639    0.09840593    0.18258502          
187       0.50490374    0.09774673    0.18226025          
188       0.50028430    0.09803725    0.18235279          
189       0.50465540    0.09725358    0.17598395          
190       0.50886479    0.09576335    0.17271810          
191       0.50416528    0.09664010    0.17066181          
192       0.50508871    0.09569693    0.16994954          
193       0.51068273    0.09454825    0.16403239          
194       0.50676284    0.09508860    0.16301204          
195       0.50432167    0.09428174    0.16601522          
196       0.50319577    0.09453689    0.16306888          
197       0.50776212    0.09373266    0.15704423          
198       0.51003719    0.09276767    0.15506074          
199       0.50522854    0.09263504    0.15807259          
200       0.50742630    0.09223202    0.15382180          
201       0.50535569    0.09184432    0.15419836          
202       0.50325509    0.09228822    0.15227918          
203       0.50663398    0.09143720    0.14848826          
204       0.50795257    0.09059942    0.14700264          
205       0.50288809    0.09124456    0.14734232          
206       0.50362018    0.09081532    0.14531507          
207       0.50492707    0.09039075    0.14294005          
208       0.50399879    0.09024101    0.14140199          
209       0.50738054    0.08910951    0.13879426          
210       0.50464901    0.08880552    0.14063245          
211       0.50551156    0.08890393    0.13639994          
212       0.50481949    0.08881310    0.13475289          
213       0.50670764    0.08761855    0.13470282          
214       0.50797294    0.08725951    0.13198480          
215       0.50363067    0.08829776    0.13032231          
216       0.50767993    0.08715547    0.12794706          
217       0.50327378    0.08705083    0.13056677          
218       0.50656306    0.08660371    0.12648359          
219       0.50327139    0.08702074    0.12650675          
220       0.50776892    0.08580931    0.12318046          
221       0.51109289    0.08492502    0.12095943          
222       0.50807562    0.08635481    0.11689926          
223       0.50476098    0.08598637    0.11961832          
224       0.50547971    0.08512872    0.11938777          
225       0.50005757    0.08569351    0.12069727          
226       0.50222157    0.08559637    0.11651423          
227       0.50370141    0.08502746    0.11527959          
228       0.50379052    0.08501257    0.11322030          
229       0.50948257    0.08344097    0.11074339          
230       0.50845092    0.08420616    0.10746413          
231       0.51010025    0.08424066    0.10382199          
232       0.50647282    0.08381775    0.10720451          
233       0.50672262    0.08360822    0.10616589          
234       0.50568962    0.08354299    0.10494861          
235       0.50415678    0.08368430    0.10430687          
236       0.50554683    0.08371571    0.10097839          
237       0.50541024    0.08252517    0.10350060          
238       0.50233224    0.08414362    0.09961405          
239       0.50175676    0.08230559    0.10389433          
240       0.50579997    0.08231350    0.09867440          
241       0.50288883    0.08269994    0.09841325          
242       0.50672929    0.08148784    0.09708232          
243       0.50420028    0.08181812    0.09707541          
244       0.50381857    0.08217343    0.09489554          
245       0.50583363    0.08144480    0.09339976          
246       0.50764822    0.08059598    0.09294551          
247       0.50282501    0.08136837    0.09324978          
248       0.50870680    0.08005521    0.09088431          
249       0.50910648    0.08028870    0.08837125          
250       0.50622040    0.08064535    0.08848020          
251       0.50355247    0.08004271    0.09112046          
252       0.50906613    0.08025720    0.08444327          
253       0.50506852    0.08057650    0.08532318          
254       0.50039862    0.08096057    0.08717310          
255       0.50534063    0.08012307    0.08411546          
256       0.50468514    0.08036546    0.08260340          
257       0.50516584    0.08026201    0.08145231          
258       0.50831074    0.07926372    0.08061939          
259       0.50659065    0.07903306    0.08111362          
260       0.50676289    0.07934528    0.07911162          
261       0.50509589    0.07892315    0.08079933          
262       0.50601536    0.07867816    0.07933096          
263       0.50468120    0.07913359    0.07787578          
264       0.50570489    0.07863947    0.07697374          
265       0.50420181    0.07894263    0.07656609          
266       0.50391404    0.07855329    0.07703374          
267       0.50993941    0.07824769    0.07149113          
268       0.50566236    0.07838131    0.07396206          
269       0.50353880    0.07842811    0.07377856          
270       0.50348751    0.07821544    0.07395550          
271       0.50721397    0.07865140    0.06838587          
272       0.50668104    0.07811032    0.06952428          
273       0.50270285    0.07824202    0.07126416          
274       0.50707334    0.07730567    0.06931442          
275       0.50460427    0.07790655    0.06833072          
276       0.50065527    0.07732591    0.07195520          
277       0.50257841    0.07738805    0.06937881          
278       0.50442648    0.07785280    0.06630970          
279       0.50797840    0.07758903    0.06319677          
280       0.50675804    0.07758123    0.06304738          
281       0.50645511    0.07669376    0.06487764          
282       0.50603578    0.07752490    0.06185325          
283       0.50500523    0.07794534    0.06099815          
284       0.50478107    0.07740825    0.06147459          
285       0.50687052    0.07733020    0.05946099          
286       0.50564122    0.07662488    0.06133500          
287       0.50918750    0.07601400    0.05911703          
288       0.50643314    0.07678457    0.05884728          
289       0.50477620    0.07579111    0.06154319          
290       0.50171895    0.07702697    0.06030703          
291       0.50306726    0.07692802    0.05814578          
292       0.50741288    0.07629140    0.05586156          
293       0.50268174    0.07598045    0.05928296          
294       0.50805490    0.07651608    0.05345822          
295       0.50916483    0.07571805    0.05424103          
296       0.50560777    0.07686973    0.05308406          
297       0.50725064    0.07652205    0.05180014          
298       0.50786625    0.07535700    0.05351564          
299       0.50204563    0.07649010    0.05449384          
300       0.50264120    0.07573802    0.05502995          
301       0.50256466    0.07590345    0.05392113          
302       0.50422821    0.07679688    0.04979501          
303       0.50693916    0.07525739    0.05161574          
304       0.50806465    0.07567534    0.04899009          
305       0.50328398    0.07651464    0.05006060          
306       0.50221192    0.07580078    0.05091232          
307       0.50265664    0.07561097    0.05065788          
308       0.50558525    0.07620961    0.04657600          
309       0.50865940    0.07455846    0.04773158          
310       0.50762222    0.07534061    0.04681936          
311       0.50537002    0.07530244    0.04691321          
312       0.50619559    0.07523985    0.04621572          
313       0.50811829    0.07538782    0.04389699          
314       0.50711977    0.07600040    0.04340146          
315       0.50374638    0.07504665    0.04630768          
316       0.50681003    0.07481865    0.04422905          
317       0.50584500    0.07463389    0.04481945          
318       0.51009189    0.07551872    0.04007784          
319       0.50695712    0.07485644    0.04249215          
320       0.50776944    0.07353523    0.04441987          
321       0.50618834    0.07392660    0.04379803          
322       0.50455857    0.07413150    0.04384638          
323       0.50095886    0.07462525    0.04481123          
324       0.50483020    0.07433987    0.04310339          
325       0.50375578    0.07504384    0.04105255          
326       0.50347597    0.07560960    0.03939572          
327       0.50595283    0.07379111    0.04167233          
328       0.50812633    0.07483259    0.03717288          
329       0.50601133    0.07478781    0.03863641          
330       0.50725535    0.07617462    0.03413750          
331       0.50204332    0.07534006    0.03998286          
332       0.50821179    0.07412771    0.03684318          
333       0.50584925    0.07463080    0.03756731          
334       0.50532522    0.07431502    0.03734110          
335       0.50785117    0.07434117    0.03510254          
336       0.50821557    0.07413035    0.03487744          
337       0.50877534    0.07370592    0.03522641          
338       0.50332553    0.07429534    0.03672252          
339       0.50628087    0.07415211    0.03481038          
340       0.50712335    0.07467362    0.03322305          
341       0.50522822    0.07433773    0.03432317          
342       0.50708288    0.07385273    0.03388556          
343       0.50368799    0.07584575    0.03149436          
344       0.50826177    0.07392478    0.03205200          
345       0.50391631    0.07436628    0.03405991          
346       0.50401857    0.07389013    0.03393751          
347       0.51006509    0.07470915    0.02891981          
348       0.50880405    0.07279131    0.03274851          
349       0.50478824    0.07406908    0.03233802          
350       0.50248146    0.07377554    0.03365051          
351       0.50203453    0.07353649    0.03409575          
352       0.50507664    0.07448011    0.03020581          
353       0.50414147    0.07378737    0.03213347          
354       0.50502872    0.07443898    0.03006549          
355       0.50529451    0.07368569    0.03133158          
356       0.50545493    0.07409432    0.03002690          
357       0.50620599    0.07354939    0.03044036          
358       0.50435822    0.07363613    0.03088619          
359       0.50258113    0.07407450    0.02990164          
360       0.50582794    0.07495289    0.02639948          
361       0.50698433    0.07329962    0.02915803          
362       0.50846248    0.07448369    0.02474461          
363       0.50670213    0.07390803    0.02678099          
364       0.50729566    0.07325986    0.02721603          
365       0.50434923    0.07350293    0.02884791          
366       0.50552251    0.07360156    0.02704452          
367       0.50924689    0.07367470    0.02585319          
368       0.50629937    0.07369804    0.02547330          
369       0.50474459    0.07449571    0.02468671          
370       0.50387497    0.07427786    0.02519008          
371       0.50257248    0.07449984    0.02519153          
372       0.50687786    0.07487302    0.02172522          
373       0.50412916    0.07352179    0.02631206          
374       0.50551503    0.07241879    0.02675297          
375       0.50232170    0.07385669    0.02576405          
