# cycles  fidelity            EL avg              EL var              ||MSE gradient||    ratio accepted samples
1         0.87148             0.99372             0.00939             0.17138             0.999975            
2         0.85485             1.45491             0.93285             6.99669             1.0                 
3         0.84422             1.00594             0.02079             0.37746             1.0                 
4         0.86092             0.98406             0.01481             0.18956             1.0                 
5         0.86625             0.98255             0.02021             0.21644             1.0                 
6         0.82565             1.03181             0.01264             0.27502             1.0                 
7         0.89944             1.07615             0.20879             1.00224             0.999975            
8         0.85427             1.04862             0.03388             0.22201             1.0                 
9         0.82732             1.07681             0.02286             0.18070             1.0                 
10        0.83171             1.09840             0.09847             0.52851             1.0                 
11        0.85718             1.12395             0.06280             0.24754             1.0                 
12        0.82338             1.18822             0.20694             1.48070             1.0                 
13        0.81743             1.18512             0.03594             0.37971             1.0                 
14        0.86702             1.30251             0.33996             1.47825             0.999975            
15        0.83850             1.16834             0.01765             0.27091             1.0                 
16        0.81285             1.34064             0.14170             2.10079             1.0                 
17        0.82972             1.23940             0.03169             0.43515             1.0                 
18        0.85675             1.26459             0.02513             0.40094             1.0                 
19        0.85345             1.28191             0.05176             0.40144             1.0                 
20        0.85883             1.32943             0.02387             0.29018             0.999975            
21        0.79341             1.44942             0.33783             2.60442             1.0                 
22        0.81670             1.31750             0.09331             1.04114             1.0                 
23        0.82035             1.39880             0.09908             0.88450             1.0                 
24        0.84682             1.43125             0.09437             0.88374             0.999975            
25        0.80610             1.47810             0.12484             0.92328             1.0                 
26        0.79676             1.66845             1.02659             4.16574             1.0                 
27        0.84528             1.60559             0.09433             0.74893             0.99995             
28        0.88403             1.50352             0.18244             1.20647             0.999975            
29        0.84980             1.58974             0.27992             1.64490             1.0                 
30        0.80281             1.81686             1.03823             2.37206             1.0                 
31        0.84434             1.86142             1.31812             4.26303             1.0                 
32        0.81896             2.18961             3.15378             8.19203             0.999975            
33        0.81734             1.90540             0.25246             1.33854             1.0                 
34        0.85321             1.69661             0.41197             1.83578             1.0                 
35        0.87899             1.66241             0.55181             1.95498             1.0                 
36        0.89768             1.58067             0.60648             1.85523             0.999975            
37        0.85492             1.94888             0.55576             1.61084             1.0                 
38        0.86197             1.85194             0.68973             2.39428             1.0                 
39        0.82581             1.76856             0.76131             3.14684             1.0                 
40        0.83831             1.97305             0.82023             2.88046             1.0                 
41        0.83146             1.98283             0.93467             2.99191             1.0                 
42        0.82261             2.32241             1.12089             3.11737             0.99995             
43        0.83212             2.07003             1.03259             3.26546             1.0                 
44        0.84477             2.05082             1.18474             2.97268             1.0                 
45        0.86465             2.01092             1.24022             2.92662             0.99995             
46        0.88419             1.75104             1.34407             3.61209             1.0                 
47        0.85180             2.37674             1.42003             2.58411             0.999975            
48        0.86345             2.27408             1.58243             3.26790             1.0                 
49        0.88744             2.05262             1.69927             2.72736             1.0                 
50        0.88754             2.00681             2.03099             1.81240             1.0                 
51        0.88190             2.25950             2.04600             3.70745             0.999975            
52        0.92625             1.73984             1.65384             2.77895             1.0                 
53        0.92796             1.89000             1.83541             3.36440             1.0                 
54        0.94330             1.64378             1.50737             2.26280             1.0                 
55        0.81388             2.72775             4.37835             6.87758             1.0                 
56        0.89624             2.44763             2.87508             3.68158             1.0                 
57        0.92479             1.99047             2.36868             3.74112             1.0                 
58        0.92099             2.14628             2.90688             3.84202             0.999975            
59        0.94615             1.81269             2.45129             2.94741             1.0                 
60        0.92775             2.00260             2.39819             2.62451             1.0                 
61        0.92610             2.13444             3.34539             3.74444             1.0                 
62        0.90993             2.47055             3.91453             4.36725             1.0                 
63        0.93806             2.18895             3.70017             3.73629             1.0                 
64        0.92603             2.42030             4.15106             4.06695             0.999975            
65        0.94127             2.12686             3.48944             3.79824             1.0                 
