# cycles  fidelity      MSE           ||MSE gradient||    
1         0.70842471    0.43460301    0.89829902          
2         0.70988832    0.42845275    0.72805412          
3         0.70654243    0.36125465    0.95185101          
4         0.70668189    0.20413903    0.48535864          
5         0.69872716    0.15082563    0.57094079          
6         0.69853721    0.09839175    0.15426059          
7         0.69333175    0.11314318    0.24807868          
8         0.68817841    0.13430589    0.28047910          
9         0.68764148    0.14113070    0.21657227          
10        0.68837371    0.14410328    0.15814771          
11        0.68408998    0.14410515    0.14184349          
12        0.67758495    0.14385627    0.14416827          
13        0.66679168    0.14020342    0.17343585          
14        0.66085029    0.13163262    0.19275008          
15        0.66517317    0.11552479    0.15636811          
16        0.67354631    0.09738771    0.12836537          
17        0.68681136    0.08357685    0.09587065          
18        0.69977493    0.08354332    0.16249730          
19        0.71544848    0.09233266    0.30783709          
20        0.72284984    0.08831842    0.32248499          
21        0.72851964    0.06836361    0.16697835          
22        0.72782176    0.05865709    0.05626033          
23        0.72857205    0.06001020    0.09466352          
24        0.72962571    0.06435247    0.13730013          
25        0.73122186    0.06507541    0.15128014          
26        0.73670174    0.06077662    0.13950413          
27        0.74077379    0.05330907    0.10388913          
28        0.74486423    0.04703753    0.04917749          
29        0.74899163    0.04679072    0.10421121          
30        0.74924258    0.04970463    0.18284218          
31        0.75087334    0.04545594    0.14214478          
32        0.75395938    0.04080771    0.06267037          
33        0.75723115    0.03954254    0.07809386          
34        0.76095913    0.03956951    0.09898840          
35        0.75747746    0.03826444    0.08112373          
36        0.75152481    0.03698567    0.05931236          
37        0.74949784    0.03685456    0.09700998          
38        0.75425505    0.03534973    0.09351988          
39        0.76469352    0.03246284    0.03913558          
40        0.77145803    0.03145845    0.04998632          
41        0.77291265    0.03138392    0.07337382          
42        0.77411076    0.02986009    0.05948452          
43        0.77642526    0.02845365    0.05353142          
44        0.78117784    0.02679752    0.06705935          
45        0.78466465    0.02487798    0.04555502          
46        0.78539735    0.02342702    0.02599440          
47        0.78784831    0.02239491    0.04862491          
48        0.79159185    0.02112676    0.04868049          
49        0.79569542    0.01950997    0.02836663          
50        0.80082364    0.01851736    0.04690380          
51        0.80704939    0.01686876    0.04476009          
52        0.81155662    0.01535313    0.01889107          
53        0.81549452    0.01446511    0.03423271          
54        0.82006852    0.01342134    0.03337469          
55        0.82499677    0.01228752    0.02638124          
56        0.82841241    0.01155727    0.04046391          
57        0.83275399    0.01020638    0.02502372          
58        0.83504740    0.00950091    0.01800243          
59        0.83718069    0.00889927    0.02798251          
60        0.83969337    0.00821984    0.01593564          
61        0.84203661    0.00770807    0.02402434          
62        0.84477916    0.00714994    0.02428605          
63        0.84650336    0.00663367    0.01387512          
64        0.84858963    0.00620303    0.01947418          
65        0.85062008    0.00575553    0.01234845          
66        0.85208211    0.00550797    0.01888094          
67        0.85320957    0.00522079    0.02009920          
68        0.85441919    0.00498028    0.01221449          
69        0.85506643    0.00481516    0.01738456          
70        0.85630692    0.00450481    0.00872033          
71        0.85731415    0.00432367    0.01520651          
72        0.85762810    0.00422422    0.01419515          
73        0.85839977    0.00403670    0.01074278          
74        0.85924713    0.00398733    0.01349927          
75        0.85976245    0.00377317    0.00757468          
76        0.86035053    0.00368926    0.01571842          
77        0.86044086    0.00355089    0.00679222          
78        0.86156862    0.00348764    0.01342414          
79        0.86172770    0.00336901    0.00872680          
80        0.86298304    0.00321103    0.01035857          
