# cycles  fidelity            EL avg              EL var              ||MSE gradient||    ratio accepted samples
1         0.84086             1.01241             0.01045             0.18096             1.0                 
2         0.82854             0.99847             0.01842             0.24592             1.0                 
3         0.85114             0.94232             0.01983             0.40775             0.999958333333333   
4         0.86762             1.19633             0.35337             4.57076             1.0                 
5         0.88427             1.01112             0.01977             0.43632             1.0                 
6         0.88900             1.06440             0.01102             0.14495             1.0                 
7         0.86542             1.05949             0.04658             0.37213             1.0                 
8         0.83789             1.10596             0.02840             0.10027             1.0                 
9         0.84791             1.05514             0.04225             0.20925             1.0                 
10        0.84675             1.11307             0.01290             0.37072             1.0                 
11        0.85616             1.12828             0.01374             0.27083             1.0                 
12        0.84530             1.14147             0.01523             0.38031             0.999958333333333   
13        0.86749             1.21061             0.00964             0.17220             1.0                 
14        0.86759             1.19883             0.05624             0.21612             1.0                 
15        0.81850             1.27963             0.09551             1.07961             1.0                 
16        0.82544             1.26026             0.02331             0.45012             1.0                 
17        0.86214             1.30428             0.02368             0.31301             1.0                 
18        0.86329             1.42044             0.13220             1.44632             1.0                 
19        0.87617             1.29605             0.04795             0.69369             1.0                 
20        0.87157             1.43199             0.04099             0.35265             1.0                 
21        0.85710             1.45682             0.02901             0.40149             0.999958333333333   
22        0.85607             1.44205             0.03992             0.45845             1.0                 
23        0.89696             1.48470             0.08890             0.54919             1.0                 
24        0.84940             1.54252             0.06523             0.61863             1.0                 
25        0.87957             1.42160             0.14865             1.15304             1.0                 
26        0.88815             1.56178             0.31078             1.71848             1.0                 
27        0.90162             1.53219             0.16524             0.90078             1.0                 
28        0.83863             1.68410             0.11515             0.76246             1.0                 
29        0.91067             1.46067             0.26790             1.30718             1.0                 
30        0.89142             1.68001             0.24673             1.31983             1.0                 
31        0.87937             1.70387             0.27865             1.66136             0.999958333333333   
32        0.90252             1.50594             0.34352             1.94457             1.0                 
33        0.89278             1.81632             0.30322             1.25962             1.0                 
34        0.92826             1.61135             0.38241             1.46370             1.0                 
35        0.92259             1.63753             0.46030             1.40254             1.0                 
36        0.90489             1.81483             0.53860             1.72323             1.0                 
37        0.91338             1.66256             0.49324             1.95599             0.999958333333333   
38        0.88860             1.97007             0.50864             1.86760             1.0                 
39        0.87960             2.11731             0.57713             1.78532             1.0                 
40        0.92352             1.86027             0.68994             2.07217             1.0                 
41        0.91905             1.89499             0.76092             1.62113             1.0                 
42        0.92752             1.80368             1.04842             1.47997             1.0                 
43        0.94910             1.75201             0.86765             2.05376             1.0                 
44        0.93691             1.90989             1.00105             2.35176             1.0                 
45        0.93270             2.00543             1.04763             2.94755             1.0                 
46        0.94364             1.83791             1.02578             2.95142             0.999958333333333   
47        0.95853             1.72257             0.94282             1.86315             1.0                 
48        0.94493             2.04837             1.32002             2.59858             1.0                 
49        0.94030             1.92479             1.32063             2.45926             1.0                 
50        0.89255             2.19191             2.68247             3.99962             1.0                 
51        0.95623             1.85008             1.25274             2.82173             1.0                 
52        0.94253             2.06773             1.32170             2.86176             1.0                 
53        0.96744             1.81972             1.54874             2.36414             1.0                 
54        0.95857             1.89205             1.90791             2.69683             1.0                 
