# cycles  fidelity            EL avg              EL var              ||MSE gradient||    ratio accepted samples
1         0.85463             1.16597             0.25949             1.99910             1.0                 
2         0.83645             1.03037             0.03680             0.26945             1.0                 
3         0.84607             1.01172             0.02064             0.22960             1.0                 
4         0.85430             1.07337             0.09482             1.12691             1.0                 
5         0.82021             1.14429             0.43884             2.24394             0.999975            
6         0.85222             1.09960             0.09644             0.67261             1.0                 
7         0.84563             1.05792             0.03096             0.41065             1.0                 
8         0.85836             1.09424             0.02413             0.15071             0.9999875           
9         0.83905             1.04201             0.02822             0.31455             0.999975            
10        0.86399             1.11999             0.05353             0.62540             1.0                 
11        0.84063             1.09420             0.02327             0.12216             1.0                 
12        0.85045             1.13942             0.02961             0.30976             1.0                 
13        0.84155             1.17137             0.02256             0.15907             1.0                 
14        0.84947             1.19121             0.04836             0.47134             1.0                 
15        0.87564             1.19411             0.02176             0.27860             1.0                 
16        0.86549             1.19911             0.02331             0.42984             0.999975            
17        0.81970             1.25511             0.03094             0.47573             1.0                 
18        0.83533             1.32122             0.05064             0.32622             1.0                 
19        0.85797             1.27839             0.04257             0.54552             0.999975            
20        0.84566             1.38800             0.19726             0.60824             0.9999875           
21        0.86661             1.43406             0.15453             1.09199             1.0                 
22        0.82855             1.42334             0.06136             0.65370             0.9999875           
23        0.83856             1.40307             0.08558             0.76823             0.999975            
24        0.84747             1.41403             0.14131             0.83920             1.0                 
25        0.86631             1.44281             0.19475             0.77709             0.9999875           
26        0.86446             1.51433             0.29809             0.57394             1.0                 
27        0.86520             1.56029             0.30239             1.27865             1.0                 
28        0.85519             1.54635             0.21354             1.50105             0.999975            
29        0.86696             1.62648             0.22721             1.19904             0.9999875           
30        0.87534             1.66508             0.26705             1.40131             1.0                 
31        0.88463             1.62189             0.31073             1.50693             1.0                 
32        0.88055             1.72512             0.32299             1.45142             0.9999875           
33        0.89643             1.59351             0.39532             1.72151             1.0                 
34        0.87550             1.85722             0.68396             1.27816             1.0                 
35        0.88714             1.77631             0.45139             1.71544             1.0                 
36        0.90344             1.70868             0.56656             1.00985             1.0                 
37        0.91092             1.84956             0.60844             1.78925             0.9999875           
38        0.89548             1.82760             0.60205             1.94743             1.0                 
39        0.91290             1.68664             0.67351             2.53368             0.9999875           
40        0.92286             1.71661             0.71892             1.89836             1.0                 
41        0.92825             1.77510             0.79540             2.14814             1.0                 
42        0.93495             1.79077             0.78519             2.33597             0.9999875           
43        0.92429             1.91383             0.95832             1.71392             1.0                 
44        0.94233             1.71089             0.90186             2.55269             0.9999875           
45        0.94701             1.72652             0.90886             2.04616             1.0                 
46        0.94833             1.78715             0.98487             2.47915             1.0                 
47        0.93451             1.99727             1.22089             2.61196             1.0                 
48        0.93573             2.02764             1.35113             2.79598             1.0                 
49        0.30733             39.47045            905.06435           712.37123           1.0                 
50        0.94430             1.98602             1.52615             2.42342             0.9999875           
51        0.94072             2.04410             1.62854             2.79924             1.0                 
52        0.93981             2.01004             1.68579             2.52393             0.999975            
53        0.81980             2.80081             4.15361             5.39189             1.0                 
54        0.96074             1.74624             1.53911             1.97993             1.0                 
55        0.95258             1.87618             1.78414             3.18098             1.0                 
56        0.91064             2.24897             3.10379             1.68264             1.0                 
57        0.95556             1.91485             1.91705             3.32880             1.0                 
