# cycles  fidelity            EL avg              EL var              ||MSE gradient||    ratio accepted samples
1         0.90785             1.18115             0.30825             1.60180             1.0                 
2         0.79436             0.95260             0.01664             0.21077             1.0                 
3         0.77432             0.88622             0.01916             0.30284             1.0                 
4         0.74878             0.89126             0.05267             0.78956             1.0                 
5         0.79950             0.93469             0.01089             0.15804             1.0                 
6         0.70245             0.92342             0.01944             0.28172             1.0                 
7         0.85061             0.89644             0.04395             0.73551             1.0                 
8         0.83612             0.96188             0.01818             0.35828             1.0                 
9         0.77509             1.35547             1.15141             5.98106             1.0                 
10        0.78712             1.01188             0.05943             0.29006             1.0                 
11        0.84890             1.08271             0.02866             0.42591             1.0                 
12        0.81107             1.12440             0.02705             0.56786             1.0                 
13        0.75720             1.14977             0.04504             1.09307             1.0                 
14        0.80100             1.13732             0.07109             0.52822             1.0                 
15        0.86520             1.44494             0.03349             0.77707             1.0                 
16        0.82939             1.17121             0.08518             1.24443             1.0                 
17        0.84765             1.21646             0.07461             0.94721             1.0                 
18        0.88190             1.29305             0.05723             0.61334             1.0                 
19        0.86192             1.36795             0.05524             0.65264             1.0                 
20        0.87296             1.37083             0.06517             0.97323             1.0                 
21        0.88547             1.49240             0.06128             0.86385             1.0                 
22        0.90498             1.41623             0.10858             1.23842             0.9999375           
23        0.88511             1.62296             0.04912             0.29607             1.0                 
24        0.91920             1.59650             0.08935             0.84492             1.0                 
25        0.93295             1.58600             0.08437             0.65614             0.9999375           
26        0.95190             1.47133             0.13098             1.04598             1.0                 
27        0.91299             1.67317             0.10566             0.60090             1.0                 
28        0.95357             1.69691             0.12929             0.84097             1.0                 
29        0.91484             1.61061             0.11509             0.75918             1.0                 
30        0.94964             1.86114             0.16937             0.94407             1.0                 
31        0.94851             1.80494             0.20569             0.70763             1.0                 
32        0.91995             1.72250             0.19727             0.96853             1.0                 
33        0.94794             1.77420             0.21832             0.87818             1.0                 
34        0.95397             1.42224             0.20956             1.12605             1.0                 
35        0.87150             2.21889             0.56808             3.88407             1.0                 
36        0.98021             1.71803             0.30589             0.56960             1.0                 
37        0.61954             3.83561             2.76381             5.78428             1.0                 
38        0.92124             1.85017             0.44791             2.05805             1.0                 
39        0.96383             1.75312             0.27208             0.57079             1.0                 
40        0.90740             2.11255             0.55953             2.31495             1.0                 
41        0.96180             1.96008             0.47025             1.08720             1.0                 
42        0.93903             1.84512             0.59402             3.21001             1.0                 
43        0.97635             1.72287             0.43846             0.86324             1.0                 
44        0.98168             1.77475             0.45022             0.92573             1.0                 
45        0.94686             2.05640             0.88834             1.97837             1.0                 
46        0.98418             1.81180             0.92394             1.52109             1.0                 
47        0.95968             2.07074             0.90831             1.24202             1.0                 
48        0.98818             1.67262             0.67736             1.32449             1.0                 
49        0.98020             1.78749             0.50319             1.25533             1.0                 
50        0.97221             1.86543             0.65900             1.11618             1.0                 
51        0.96325             2.21123             1.50887             1.96546             0.9999375           
52        0.98216             1.71256             1.08328             1.56063             0.9999375           
53        0.94017             1.93860             0.70384             1.91202             1.0                 
54        0.97675             1.89333             0.99248             1.48761             1.0                 
55        0.94406             1.96236             1.07993             1.04893             1.0                 
56        0.97773             1.53332             0.31818             0.42089             1.0                 
57        0.96660             1.59191             0.62093             0.33396             1.0                 
58        0.95817             2.07316             1.60152             1.72506             1.0                 
59        0.96875             2.00239             1.41637             1.67431             1.0                 
60        0.79545             2.73600             1.98725             6.11052             1.0                 
61        0.95204             1.79956             0.91742             0.83547             1.0                 
62        0.94853             1.82392             1.32900             0.61513             1.0                 
63        0.96226             1.80352             1.63108             1.08020             1.0                 
64        0.94705             1.78579             0.85832             0.81058             1.0                 
65        0.74940             2.75149             4.66675             8.24240             1.0                 
66        0.87368             2.24847             0.70028             5.24519             1.0                 
67        0.96430             2.04758             2.48866             1.99206             1.0                 
68        0.96668             1.84819             1.33978             0.58872             1.0                 
69        0.96145             1.67405             1.86858             0.79099             1.0                 
70        0.93049             1.89179             0.51468             3.41942             1.0                 
71        0.95965             1.97730             2.00890             0.94213             1.0                 
72        0.94961             1.88967             1.02884             1.96593             1.0                 
73        0.97902             1.84978             1.64517             1.29331             1.0                 
74        0.97156             2.19318             2.91677             2.45781             1.0                 
75        0.98245             1.57594             0.18765             0.87630             1.0                 
76        0.96210             2.30729             3.61959             3.08247             0.9999375           
77        0.96668             1.99983             2.82031             2.82674             1.0                 
78        0.97579             2.02035             2.31517             1.74446             1.0                 
79        0.95844             1.98932             1.79635             2.60356             1.0                 
80        0.94632             1.96098             2.50464             1.16013             1.0                 
81        0.95446             1.98567             0.22358             1.66700             1.0                 
82        0.88832             1.72586             1.45124             3.08276             0.9999375           
83        0.94703             1.92665             0.16425             0.66040             1.0                 
84        0.94996             1.44844             0.96366             1.27935             1.0                 
85        0.91117             2.09172             0.39506             3.55336             0.9999375           
86        0.87376             2.13312             1.99903             1.35942             0.9999375           
87        0.93289             1.79700             0.63904             0.35469             1.0                 
88        0.91674             1.91681             0.88967             1.53234             1.0                 
89        0.85337             2.10707             2.11040             3.45076             1.0                 
90        0.95345             1.86206             0.75679             0.22547             0.9999375           
91        0.93700             1.62668             1.13795             0.79791             1.0                 
92        0.93599             1.98627             2.45436             0.78617             1.0                 
93        0.89720             1.83863             3.07775             2.17028             1.0                 
94        0.94394             1.86854             1.44603             0.49406             1.0                 
