# cycles  fidelity      MSE           ||MSE gradient||    
1         0.67601744    0.39411074    0.72355881          
2         0.67723773    0.38063551    0.59188530          
3         0.68066751    0.36086836    0.52189312          
4         0.67868909    0.34493308    0.47864582          
5         0.67776791    0.32821923    0.44177538          
6         0.67742697    0.31098514    0.41694076          
7         0.67712084    0.29586043    0.40726831          
8         0.67626376    0.28075258    0.40269056          
9         0.67749664    0.26585050    0.40560852          
10        0.67832851    0.25052552    0.40571615          
11        0.67721174    0.23452934    0.39157168          
12        0.67886748    0.21783898    0.37802688          
13        0.67816731    0.20198408    0.35286474          
14        0.67757321    0.18604923    0.32096797          
15        0.67750178    0.17191851    0.29666592          
16        0.68020847    0.15691273    0.26036954          
17        0.67723104    0.14653404    0.23912234          
18        0.67744242    0.13642932    0.21844424          
19        0.67797435    0.12776967    0.20369776          
20        0.67441802    0.12174126    0.17838996          
21        0.67672976    0.11487081    0.15223858          
22        0.67497646    0.10974245    0.11919148          
23        0.67620258    0.10558757    0.09169600          
24        0.67699882    0.10287327    0.06471632          
25        0.67841857    0.10108831    0.03859862          
26        0.67768730    0.10093031    0.03332405          
27        0.67715956    0.10057411    0.04418338          
28        0.67582765    0.10154055    0.06344847          
29        0.67714028    0.10157825    0.07009730          
30        0.67663024    0.10250924    0.07660323          
31        0.68129034    0.10367169    0.08472362          
32        0.67787129    0.10349820    0.08356866          
33        0.67744679    0.10473584    0.08328404          
34        0.67863172    0.10529849    0.08628353          
35        0.67907700    0.10613982    0.08918889          
36        0.67936776    0.10648472    0.09114427          
37        0.67761187    0.10566942    0.09065783          
38        0.67881869    0.10475902    0.08976112          
39        0.67787433    0.10517249    0.09067925          
40        0.67671202    0.10421877    0.08498228          
41        0.67695949    0.10340221    0.08158187          
42        0.68040147    0.10303754    0.07965326          
43        0.67936158    0.10214366    0.07309282          
44        0.67735673    0.10046292    0.06338606          
45        0.67846544    0.09988669    0.05977565          
46        0.67927807    0.10014541    0.05727311          
47        0.67812393    0.09818599    0.04751636          
48        0.67866255    0.09836995    0.04631887          
49        0.67740663    0.09807310    0.04018668          
50        0.67958125    0.09714267    0.03434084          
51        0.67947326    0.09786184    0.02625606          
52        0.67814479    0.09746095    0.01630291          
53        0.67743058    0.09722603    0.01201205          
54        0.68001061    0.09652862    0.02028752          
55        0.67870720    0.09612057    0.01868218          
56        0.67958544    0.09718463    0.02235765          
57        0.67957650    0.09724054    0.01795675          
58        0.67637993    0.09795344    0.02109707          
59        0.67776351    0.09696815    0.02437158          
60        0.67958712    0.09714291    0.02442840          
61        0.67763225    0.09731165    0.02878411          
62        0.67749568    0.09763534    0.03414655          
63        0.67863388    0.09702469    0.03000178          
